,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10,1ST,2ND,3RD,Year
155,Matthew Wolff,"2,930",44,"2,930","26,295","26,295",82,286,286,570,460,460,738,-0.31,10.412,10.412,-.190,-.190,-.524,.040,-11.172,-11.172,-21.585,10.412,148,148,278,557,14,0,2,"2,285",,,,1,,2018
156,Patrick Reed,"3,828",57,"3,828","31,208","31,208",108,451,451,752,612,612,972,-0.30,13.787,13.787,-.633,-.633,-.424,.125,-22.531,-22.531,-36.318,13.787,216,216,360,443,17,0,1,"2,399",,,,1,,2018
157,Hayden Buckley,"4,035",59,"4,035","33,984","33,984",114,538,538,791,708,708,"1,026",-0.26,-17.277,-17.277,.568,.568,.032,-.328,-5.565,-5.565,11.711,-17.277,179,179,318,301,20,0,2,"2,541",,,,,,2018
158,Scott Gutschewski,"2,825",42,"2,825","23,774","23,774",80,325,325,557,496,496,720,-0.26,-11.258,-11.258,-.072,-.072,.410,.136,-.821,-.821,10.437,-11.258,138,138,224,71,15,0,,"2,771",,,,,,2018
159,Ben Kohles,"3,186",47,"3,186","25,737","25,737",90,372,372,625,537,537,810,-0.29,5.091,5.091,-.611,-.611,-.121,-.266,-21.849,-21.849,-26.940,5.091,155,155,273,106,16,0,,"2,736",,,,,,2018
160,Carlos Ortiz,"3,452",49,"3,452","28,768","28,768",94,379,379,678,577,577,882,-0.32,-2.035,-2.035,-.086,-.086,.104,-.402,-17.392,-17.392,-15.357,-2.035,178,178,305,399,16,0,1,"2,443",,,,1,,2018
161,Jim Knous,"2,337",35,"2,337","19,638","19,638",66,246,246,459,376,376,594,-0.29,9.173,9.173,-.262,-.262,-.609,.300,-1.129,-1.129,-10.301,9.173,133,133,218,82,12,0,,"2,760",,,,,,2018
162,Nick Hardy,"2,475",39,"2,475","21,225","21,225",70,274,274,489,431,431,630,-0.26,-5.601,-5.601,.395,.395,-.223,-.523,-12.960,-12.960,-7.360,-5.601,115,115,199,84,13,0,,"2,758",,,,,,2018
163,Brian Gay,"2,770",39,"2,770","22,039","22,039",78,323,323,541,402,402,702,-0.33,29.890,29.890,-.821,-.821,-1.389,.297,-23.676,-23.676,-53.567,29.890,176,176,300,90,14,0,,"2,752",,,,,,2018
164,Callum Tarren,"2,911",45,"2,911","25,466","25,466",82,302,302,567,489,489,738,-0.28,-5.547,-5.547,.145,.145,-.174,-.356,-16.307,-16.307,-10.760,-5.547,135,135,249,107,16,0,1,"2,735",,,,,,2018
165,Roger Sloan,"3,838",54,"3,838","29,493","29,493",100,429,429,746,616,616,972,-0.28,-7.603,-7.603,-.232,-.232,-.298,.104,-25.908,-25.908,-18.305,-7.603,201,201,356,129,20,0,,"2,713",,,,,,2018
166,Nick Watney,"3,844",56,"3,844","32,726","32,726",108,413,413,753,671,671,972,-0.24,7.766,7.766,-.185,-.185,.187,-.323,-5.699,-5.699,-13.463,7.766,172,172,301,364,19,0,1,"2,478",,,,1,,2018
167,Doc Redman,"4,184",63,"4,184","32,390","32,390",110,474,474,815,698,698,"1,062",-0.27,-.628,-.628,-.153,-.153,.226,-.464,-17.405,-17.405,-16.777,-.628,204,204,364,237,20,0,1,"2,605",,,,,1,2018
168,Jared Wolfe,"3,044",45,"3,044","26,466","26,466",86,320,320,597,524,524,774,-0.26,-5.793,-5.793,-.105,-.105,-.161,-.199,-20.223,-20.223,-14.431,-5.793,147,147,250,73,17,0,,"2,769",,,,,,2018
169,Kevin Tway,"3,904",57,"3,904","34,081","34,081",110,379,379,763,630,630,990,-0.27,14.264,14.264,-.150,-.150,-.668,-.092,-26.666,-26.666,-40.930,14.264,215,215,360,303,21,0,1,"2,539",,,,1,,2018
170,Kelly Kraft,"3,204",47,"3,204","25,732","25,732",90,405,405,619,501,501,810,-0.30,22.510,22.510,-.366,-.366,-.621,-.290,-19.662,-19.662,-42.173,22.510,170,170,309,114,19,0,,"2,728",,,,,,2018
171,Cameron Champ,"2,715",38,"2,715","24,780","24,780",76,298,298,527,448,448,684,-0.28,-4.301,-4.301,.699,.699,-.224,-.386,-1.702,-1.702,2.601,-4.301,138,138,236,200,12,0,2,"2,642",,,,,,2018
172,Kiradech Aphibarnrat,"2,763",43,"2,763","22,607","22,607",78,346,346,537,447,447,702,-0.28,-9.013,-9.013,-.081,-.081,-.268,-.285,-24.242,-24.242,-15.230,-9.013,152,152,255,62,13,0,,"2,780",,,,,,2018
173,Jim Herman,"2,915",43,"2,915","23,851","23,851",82,393,393,568,503,503,738,-0.21,-14.245,-14.245,-.031,-.031,-.226,-.244,-30.783,-30.783,-16.539,-14.245,137,137,235,75,15,0,1,"2,767",,,,,,2018
174,Max McGreevy,"3,412",50,"3,412","27,772","27,772",96,414,414,661,547,547,864,-0.30,1.846,1.846,-.471,-.471,-.333,-.035,-24.976,-24.976,-26.823,1.846,178,178,317,268,18,0,1,"2,574",,,,1,,2018
175,Paul Barjon,"3,334",49,"3,334","29,020","29,020",94,370,370,649,568,568,846,-0.29,-11.599,-11.599,.399,.399,.138,-.598,-13.981,-13.981,-2.383,-11.599,143,143,278,126,17,0,1,"2,716",,,,,,2018
176,Emiliano Grillo,"3,665",54,"3,665","29,267","29,267",96,463,463,718,627,627,936,-0.31,-4.503,-4.503,.316,.316,-.103,-.241,-5.621,-5.621,-1.118,-4.503,177,177,309,145,19,0,,"2,697",,,,,,2018
177,Curtis Thompson,"3,476",53,"3,476","30,067","30,067",98,360,360,679,555,555,882,-0.28,.665,.665,.097,.097,-.474,-.310,-19.244,-19.244,-19.909,.665,198,198,327,129,19,0,1,"2,713",,,,,,2018
178,Camilo Villegas,"3,412",52,"3,412","27,912","27,912",96,397,397,669,573,573,864,-0.26,-23.241,-23.241,-.170,-.170,-.027,.179,-23.782,-23.782,-.542,-23.241,162,162,291,85,17,0,,"2,757",,,,,,2018
179,Sung Kang,"4,529",66,"4,529","35,291","35,291",120,533,533,884,768,768,"1,152",-0.28,9.845,9.845,-.317,-.317,-.392,-.179,-30.988,-30.988,-40.834,9.845,225,225,384,145,23,0,,"2,697",,,,,,2018
180,Kyle Stanley,"3,061",47,"3,061","22,684","22,684",78,397,397,593,531,531,774,-0.20,-30.731,-30.731,.235,.235,.053,-.432,-34.629,-34.629,-3.898,-30.731,138,138,243,80,18,0,,"2,762",,,,,,2018
181,Joseph Bramlett,"4,319",63,"4,319","38,725","38,725",122,452,452,845,756,756,"1,098",-0.28,-38.494,-38.494,.365,.365,.156,-.205,-23.670,-23.670,14.821,-38.494,179,179,342,125,21,0,,"2,717",,,,,,2018
182,Brandt Snedeker,"3,046",45,"3,046","24,925","24,925",86,367,367,599,520,520,774,-0.26,-7.192,-7.192,-.266,-.266,-.085,-.026,-19.646,-19.646,-12.456,-7.192,149,149,254,122,17,0,,"2,720",,,,,,2018
183,Branden Grace,"3,261",50,"3,261","24,888","24,888",84,385,385,640,546,546,828,-0.26,-24.056,-24.056,.019,.019,-.356,.055,-35.613,-35.613,-11.556,-24.056,167,167,282,213,17,0,2,"2,629",,,,,,2018
184,Brandon Hagy,"4,060",59,"4,060","33,513","33,513",106,369,369,783,637,637,"1,026",-0.30,-.742,-.742,.106,.106,-.621,-.248,-30.485,-30.485,-29.743,-.742,212,212,389,83,22,0,,"2,759",,,,,,2018
185,Martin Trainer,"3,983",58,"3,983","34,273","34,273",112,412,412,773,637,637,"1,008",-0.30,24.765,24.765,-.376,-.376,-.997,-.053,-32.258,-32.258,-57.025,24.765,215,215,371,247,22,0,2,"2,595",,,,,,2018
186,Jimmy Walker,"2,913",41,"2,913","24,097","24,097",82,303,303,569,476,476,738,-0.27,-9.899,-9.899,-.565,-.565,.101,.215,-18.088,-18.088,-8.191,-9.899,150,150,262,83,14,0,,"2,759",,,,,,2018
187,Seung-Yul Noh,"3,205",47,"3,205","26,874","26,874",90,315,315,623,537,537,810,-0.27,.321,.321,-1.165,-1.165,-.076,.133,-30.715,-30.715,-31.038,.321,155,155,273,74,16,0,,"2,768",,,,,,2018
188,Kevin Chappell,"2,771",43,"2,771","24,107","24,107",78,267,267,545,472,472,702,-0.29,-2.730,-2.730,-.350,-.350,-.297,-.214,-26.852,-26.852,-24.123,-2.730,124,124,230,108,13,0,,"2,734",,,,,,2018
189,Michael Gligic,"3,488",53,"3,488","29,097","29,097",98,391,391,681,568,568,882,-0.26,-20.136,-20.136,.049,.049,-.268,-.067,-30.171,-30.171,-10.036,-20.136,185,185,314,110,16,0,,"2,732",,,,,,2018
190,Charley Hoffman,"3,053",45,"3,053","24,059","24,059",78,279,279,596,499,499,774,-0.30,-12.140,-12.140,-.306,-.306,-.332,.022,-34.289,-34.289,-22.149,-12.140,160,160,275,99,16,0,,"2,743",,,,,,2018
191,Jason Dufner,"2,297",34,"2,297","18,586","18,586",64,271,271,444,363,363,576,-0.25,-11.019,-11.019,-.080,-.080,-.302,-.079,-20.706,-20.706,-9.686,-11.019,120,120,213,40,14,0,,"2,802",,,,,,2018
192,David Skinns,"3,136",48,"3,136","26,476","26,476",88,317,317,611,511,511,792,-0.29,-1.079,-1.079,-.582,-.582,-.255,.150,-21.700,-21.700,-20.621,-1.079,158,158,281,81,16,0,,"2,761",,,,,,2018
193,Charl Schwartzel,"2,940",45,"2,940","24,693","24,693",82,317,317,571,450,450,738,-0.27,-19.186,-19.186,-.366,-.366,-.273,.101,-35.860,-35.860,-16.673,-19.186,155,155,288,191,15,0,2,"2,651",,,,,,2018
194,Seth Reeves,"3,348",49,"3,348","28,636","28,636",94,397,397,653,563,563,846,-0.30,-1.249,-1.249,.494,.494,-.764,-.649,-27.917,-27.917,-26.668,-1.249,148,148,283,117,18,0,1,"2,725",,,,,,2018
195,Brett Drewitt,"2,858",42,"2,858","23,593","23,593",80,309,309,555,468,468,720,-0.22,-11.921,-11.921,-.414,-.414,-.418,.164,-27.939,-27.939,-16.017,-11.921,148,148,252,32,15,0,,"2,810",,,,,,2018
196,Austin Cook,"3,217",47,"3,217","25,596","25,596",90,426,426,625,499,499,810,-0.24,-4.405,-4.405,-.406,-.406,-.456,-.050,-30.870,-30.870,-26.465,-4.405,194,194,311,85,17,0,,"2,757",,,,,,2018
197,Garrick Higgo,"2,732",42,"2,732","20,557","20,557",68,293,293,532,429,429,684,-0.29,-8.014,-8.014,-.162,-.162,-.208,-.309,-24.304,-24.304,-16.290,-8.014,121,121,255,172,14,0,1,"2,670",,,,,,2018
198,Bronson Burgoon,"2,652",37,"2,652","22,083","22,083",74,268,268,511,418,418,666,-0.25,1.839,1.839,-.488,-.488,-.199,-.242,-23.247,-23.247,-25.088,1.839,144,144,248,80,13,0,,"2,762",,,,,,2018
199,Matt Wallace,"2,441",38,"2,441","18,155","18,155",60,262,262,466,395,395,612,-0.24,-16.414,-16.414,-.785,-.785,-.220,-.219,-51.929,-51.929,-35.515,-16.414,118,118,217,191,14,0,1,"2,651",,,,,,2018
200,Dawie van der Walt,"3,012",44,"3,012","24,814","24,814",84,341,341,583,481,481,756,-0.25,-5.831,-5.831,-.229,-.229,-.223,-.199,-24.064,-24.064,-18.233,-5.831,147,147,275,59,17,0,,"2,783",,,,,,2018
201,Richy Werenski,"3,442",50,"3,442","28,111","28,111",96,376,376,661,536,536,864,-0.27,9.589,9.589,-.420,-.420,-.617,-.310,-38.880,-38.880,-48.470,9.589,184,184,328,81,19,0,,"2,761",,,,,,2018
202,Chesson Hadley,"4,012",58,"4,012","31,434","31,434",104,409,409,775,618,618,"1,008",-0.26,13.041,13.041,-.599,-.599,-.400,-.364,-41.474,-41.474,-54.515,13.041,232,232,390,58,21,0,,"2,784",,,,,,2018
203,Joshua Creel,"2,381",35,"2,381","18,700","18,700",66,286,286,457,350,350,594,-0.23,1.841,1.841,-.217,-.217,-.716,-.424,-29.359,-29.359,-31.199,1.841,147,147,244,19,14,0,,"2,823",,,,,,2018
204,Jonas Blixt,"2,178",30,"2,178","17,566","17,566",60,236,236,415,298,298,540,-0.28,.504,.504,-.249,-.249,-1.500,-.148,-41.229,-41.229,-41.734,.504,139,139,242,15,13,0,,"2,827",,,,,,2018
0,Rory McIlroy,"2,091",30,"2,091","19,200","19,200",60,253,253,420,364,364,540,-0.32,8.564,8.564,.916,.916,.403,.316,51.068,51.068,42.506,8.564,112,112,176,"1,190",8,1,5,"1,652",,1,1,1,,2019
1,Cameron Smith,"2,468",40,"2,468","21,540","21,540",72,291,291,504,454,454,648,-0.39,21.103,21.103,-.049,-.049,1.078,.239,60.401,60.401,39.298,21.103,118,118,194,"1,603",11,2,5,"1,239",,2,2,,1,2019
2,Shane Lowry,"2,221",39,"2,221","19,372","19,372",64,280,280,442,388,388,576,-0.29,16.665,16.665,.303,.303,.766,-.024,43.835,43.835,27.170,16.665,136,136,188,802,11,0,3,"2,040",,,,1,2,2019
3,Matt Fitzpatrick,"2,792",43,"2,792","23,765","23,765",80,357,357,555,474,474,720,-0.27,17.462,17.462,.558,.558,.465,.462,56.081,56.081,38.618,17.462,172,172,246,795,12,0,6,"2,047",,,,1,,2019
4,Justin Thomas,"3,281",51,"3,281","30,069","30,069",96,375,375,672,599,599,864,-0.39,10.977,10.977,.476,.476,.873,.366,77.857,77.857,66.880,10.977,181,181,265,"1,568",13,1,8,"1,274",,1,1,,2,2019
5,Cameron Young,"3,757",57,"3,757","34,258","34,258",108,460,460,756,626,626,972,-0.35,11.639,11.639,.950,.950,.193,.141,73.295,73.295,61.658,11.639,220,220,346,"1,230",17,0,5,"1,612",,,,3,2,2019
6,Scottie Scheffler,"3,592",63,"3,592","32,355","32,355",104,424,424,724,667,667,936,-0.36,17.319,17.319,.121,.121,.622,.291,58.672,58.672,41.353,17.319,157,157,269,"2,842",16,4,7,0,,4,4,1,,2019
7,Russell Henley,"4,033",61,"4,033","34,371","34,371",116,540,540,808,724,724,"1,044",-0.32,-.174,-.174,-.010,-.010,.966,.331,60.351,60.351,60.525,-.174,182,182,320,762,16,0,2,"2,080",,,,1,,2019
8,Collin Morikawa,"2,355",42,"2,355","18,147","18,147",60,322,322,472,427,427,612,-0.33,2.338,2.338,.608,.608,.736,-.257,30.612,30.612,28.274,2.338,111,111,185,961,11,0,6,"1,881",,,,2,,2019
9,Tommy Fleetwood,"2,655",43,"2,655","20,544","20,544",68,317,317,524,445,445,684,-0.32,17.156,17.156,.211,.211,.149,.414,40.371,40.371,23.216,17.156,149,149,239,481,12,0,3,"2,361",,,,,,2019
10,Joaquin Niemann,"3,469",54,"3,469","28,370","28,370",92,394,394,694,600,600,900,-0.34,4.097,4.097,.507,.507,.300,.487,50.679,50.679,46.582,4.097,190,190,300,994,16,1,3,"1,848",,1,1,,,2019
11,Jon Rahm,"2,924",46,"2,924","26,773","26,773",84,387,387,588,550,550,756,-0.31,.285,.285,1.370,1.370,.542,-.212,59.810,59.810,59.527,.285,120,120,206,"1,279",12,1,5,"1,563",,1,1,1,1,2019
12,Matt Kuchar,"3,812",55,"3,812","31,611","31,611",110,499,499,765,637,637,990,-0.30,29.647,29.647,-.209,-.209,-.020,.659,50.265,50.265,20.618,29.647,251,251,353,676,15,0,3,"2,166",,,,1,1,2019
13,Hideki Matsuyama,"3,665",53,"3,665","30,005","30,005",98,458,458,742,666,666,954,-0.34,-5.824,-5.824,.242,.242,.782,.178,47.088,47.088,52.913,-5.824,181,181,288,"1,544",14,2,5,"1,298",,2,2,,1,2019
14,Talor Gooch,"4,225",68,"4,225","37,001","37,001",122,533,533,854,759,759,"1,098",-0.34,3.667,3.667,-.086,-.086,.571,.521,52.976,52.976,49.308,3.667,213,213,339,"1,253",19,1,4,"1,589",,1,1,,,2019
15,Xander Schauffele,"2,765",47,"2,765","22,210","22,210",72,353,353,556,504,504,720,-0.34,8.103,8.103,.493,.493,.578,.273,52.495,52.495,44.392,8.103,141,141,216,995,13,1,3,"1,847",,1,1,,1,2019
16,Will Zalatoris,"3,211",55,"3,211","26,275","26,275",84,338,338,640,585,585,828,-0.30,-7.687,-7.687,.604,.604,1.102,.139,53.212,53.212,60.899,-7.687,149,149,243,"1,202",15,0,6,"1,640",,,,2,,2019
17,Seamus Power,"4,154",67,"4,154","36,037","36,037",120,539,539,841,760,760,"1,080",-0.32,20.994,20.994,.232,.232,.017,.094,35.751,35.751,14.756,20.994,211,211,320,892,20,0,5,"1,950",,,,,1,2019
18,Sam Burns,"3,189",50,"3,189","28,444","28,444",92,386,386,640,577,577,828,-0.35,18.896,18.896,.190,.190,.678,.145,62.492,62.492,43.595,18.896,156,156,251,"1,601",15,2,6,"1,241",,2,2,1,,2019
19,Billy Horschel,"2,934",50,"2,934","24,782","24,782",84,402,402,592,514,514,756,-0.31,20.257,20.257,.322,.322,-.108,.383,39.948,39.948,19.691,20.257,149,149,242,784,13,0,4,"2,058",,,,2,,2019
20,Sungjae Im,"3,601",59,"3,601","31,271","31,271",104,474,474,728,659,659,936,-0.30,9.584,9.584,.581,.581,.157,.496,65.103,65.103,55.518,9.584,194,194,277,"1,117",16,1,5,"1,725",,1,1,,,2019
21,Mito Pereira,"4,522",66,"4,522","39,491","39,491",130,553,553,901,832,832,"1,170",-0.27,5.508,5.508,.430,.430,.730,.009,69.827,69.827,64.317,5.508,222,222,338,749,19,0,2,"2,093",,,,,2,2019
22,Tom Hoge,"4,871",75,"4,871","39,302","39,302",132,605,605,971,839,839,"1,260",-0.30,-1.568,-1.568,.103,.103,.848,.186,57.570,57.570,59.136,-1.568,286,286,421,"1,309",22,1,4,"1,533",,1,1,1,,2019
23,Denny McCarthy,"4,892",72,"4,892","40,752","40,752",140,637,637,971,823,823,"1,260",-0.28,39.099,39.099,-.076,-.076,-.151,.224,38.952,38.952,-.148,39.099,296,296,437,529,20,0,2,"2,313",,,,,,2019
24,Patrick Cantlay,"2,221",39,"2,221","19,427","19,427",64,282,282,451,387,387,576,-0.35,6.031,6.031,.491,.491,.173,.288,28.879,28.879,22.849,6.031,122,122,189,"1,410",11,1,6,"1,432",,1,1,2,,2019
25,Viktor Hovland,"2,918",49,"2,918","25,772","25,772",84,383,383,588,523,523,756,-0.35,8.252,8.252,.562,.562,.978,-.728,35.859,35.859,27.608,8.252,145,145,233,"1,128",13,1,4,"1,714",,1,1,1,,2019
26,Corey Conners,"3,704",60,"3,704","31,908","31,908",106,485,485,742,667,667,954,-0.27,4.423,4.423,.715,.715,.278,.018,49.930,49.930,45.507,4.423,179,179,287,703,16,0,2,"2,139",,,,,1,2019
27,Tyrrell Hatton,"2,675",46,"2,675","22,716","22,716",76,291,291,526,428,428,684,-0.34,29.730,29.730,-.036,-.036,.329,.210,44.850,44.850,15.119,29.730,144,144,256,564,12,0,2,"2,278",,,,1,,2019
28,Keith Mitchell,"3,897",61,"3,897","34,621","34,621",112,480,480,779,682,682,"1,008",-0.30,9.073,9.073,.728,.728,-.044,.089,46.155,46.155,37.081,9.073,208,208,326,638,18,0,4,"2,204",,,,,1,2019
29,Keegan Bradley,"3,771",61,"3,771","30,764","30,764",100,442,442,750,634,634,972,-0.31,1.609,1.609,.519,.519,.463,.225,54.752,54.752,53.144,1.609,205,205,338,761,17,0,5,"2,081",,,,1,,2019
30,Max Homa,"3,360",55,"3,360","29,204","29,204",96,419,419,672,573,573,864,-0.35,18.172,18.172,.498,.498,.617,-.056,62.646,62.646,44.475,18.172,166,166,291,"1,401",15,2,3,"1,441",,2,2,,,2019
31,Aaron Wise,"3,895",56,"3,895","34,376","34,376",112,460,460,774,698,698,"1,008",-0.31,-4.644,-4.644,.365,.365,.510,.146,47.451,47.451,52.095,-4.644,193,193,310,529,16,0,3,"2,313",,,,,,2019
32,Troy Merritt,"4,137",61,"4,137","32,131","32,131",110,502,502,817,651,651,"1,062",-0.31,25.233,25.233,.129,.129,.039,.042,34.924,34.924,9.692,25.233,273,273,411,539,17,0,2,"2,303",,,,,,2019
33,Chris Kirk,"3,768",58,"3,768","30,051","30,051",100,487,487,749,650,650,972,-0.30,-5.267,-5.267,.453,.453,.463,.512,53.311,53.311,58.579,-5.267,205,205,322,499,17,0,3,"2,343",,,,,,2019
34,Brian Harman,"3,846",58,"3,846","31,744","31,744",110,524,524,761,660,660,990,-0.28,13.436,13.436,.167,.167,.044,.073,26.549,26.549,13.112,13.436,209,209,330,451,17,0,3,"2,391",,,,,1,2019
35,Maverick McNealy,"4,324",67,"4,324","35,592","35,592",116,496,496,859,748,748,"1,116",-0.34,22.002,22.002,.292,.292,.189,-.078,42.570,42.570,20.567,22.002,211,211,368,757,18,0,2,"2,085",,,,1,,2019
36,Marc Leishman,"3,621",59,"3,621","31,809","31,809",104,421,421,728,634,634,936,-0.33,27.517,27.517,.053,.053,.362,.026,48.275,48.275,20.757,27.517,193,193,302,601,16,0,3,"2,241",,,,,1,2019
37,Alex Noren,"3,545",56,"3,545","28,221","28,221",94,412,412,706,615,615,918,-0.30,19.740,19.740,.024,.024,.299,.066,34.910,34.910,15.172,19.740,200,200,303,492,16,0,2,"2,350",,,,,,2019
38,Jhonattan Vegas,"3,986",57,"3,986","33,720","33,720",106,444,444,786,704,704,"1,026",-0.31,-2.436,-2.436,.422,.422,.386,-.145,26.113,26.113,28.550,-2.436,185,185,322,379,16,0,1,"2,463",,,,,,2019
39,Luke List,"4,070",61,"4,070","34,063","34,063",108,448,448,804,726,726,"1,044",-0.27,-36.156,-36.156,.757,.757,.556,.172,32.178,32.178,68.332,-36.156,188,188,318,861,20,1,3,"1,981",,1,1,,,2019
40,Louis Oosthuizen,"2,099",33,"2,099","17,950","17,950",60,281,281,416,358,358,540,-0.30,-.589,-.589,.438,.438,-.133,.364,18.835,18.835,19.424,-.589,109,109,182,175,10,0,,"2,667",,,,,,2019
41,Gary Woodland,"3,449",49,"3,449","30,534","30,534",98,364,364,676,590,590,882,-0.28,11.773,11.773,.209,.209,.432,.066,41.459,41.459,29.686,11.773,181,181,292,470,16,0,4,"2,372",,,,,,2019
42,Davis Riley,"4,328",66,"4,328","37,987","37,987",124,544,544,855,755,755,"1,116",-0.33,12.529,12.529,.344,.344,-.046,-.035,25.667,25.667,13.135,12.529,212,212,361,788,20,0,5,"2,054",,,,1,,2019
43,Sergio Garcia,"2,256",37,"2,256","19,485","19,485",64,268,268,448,386,386,576,-0.28,5.983,5.983,.712,.712,-.266,.040,17.648,17.648,11.667,5.983,118,118,190,294,11,0,1,"2,548",,,,,,2019
44,Matthias Schwab,"3,218",50,"3,218","26,700","26,700",92,385,385,637,562,562,828,-0.28,19.496,19.496,-.423,-.423,.193,.314,22.116,22.116,2.619,19.496,163,163,266,292,14,0,3,"2,550",,,,,,2019
45,Mackenzie Hughes,"3,521",53,"3,521","27,232","27,232",92,411,411,689,577,577,900,-0.30,23.737,23.737,-.272,-.272,-.103,.215,17.668,17.668,-6.070,23.737,195,195,323,670,17,0,3,"2,172",,,,1,,2019
46,Mark Hubbard,"2,791",44,"2,791","22,782","22,782",80,341,341,555,488,488,720,-0.30,2.115,2.115,-.214,-.214,.335,.298,13.436,13.436,11.322,2.115,152,152,232,234,13,0,,"2,608",,,,,,2019
47,Webb Simpson,"2,663",41,"2,663","22,794","22,794",76,344,344,528,440,440,684,-0.31,.892,.892,-.015,-.015,.205,.296,16.954,16.954,16.061,.892,144,144,244,262,12,0,1,"2,580",,,,,,2019
48,Lanto Griffin,"4,778",68,"4,778","38,639","38,639",128,544,544,937,808,808,"1,224",-0.30,12.024,12.024,.160,.160,.383,-.278,27.354,27.354,15.327,12.024,257,257,416,583,19,0,4,"2,259",,,,,1,2019
49,Russell Knox,"4,696",71,"4,696","39,404","39,404",134,638,638,929,869,869,"1,206",-0.24,-31.253,-31.253,.298,.298,.535,-.021,14.235,14.235,45.488,-31.253,198,198,337,398,21,0,2,"2,444",,,,,,2019
50,C.T. Pan,"4,000",57,"4,000","31,382","31,382",106,480,480,784,691,691,"1,026",-0.27,-.726,-.726,.084,.084,.348,.249,30.593,30.593,31.320,-.726,211,211,335,404,16,0,2,"2,438",,,,,,2019
51,Adam Long,"4,413",65,"4,413","34,379","34,379",118,557,557,868,734,734,"1,134",-0.30,29.616,29.616,.055,.055,-.175,.078,27.451,27.451,-2.164,29.616,259,259,400,373,20,0,,"2,469",,,,,,2019
52,Cameron Tringale,"4,194",67,"4,194","33,974","33,974",112,483,483,823,743,743,"1,080",-0.31,10.425,10.425,-.182,-.182,.447,.127,29.656,29.656,19.229,10.425,205,205,337,794,19,0,4,"2,048",,,,1,1,2019
53,Charles Howell III,"2,936",42,"2,936","25,584","25,584",84,357,357,584,530,530,756,-0.27,-12.343,-12.343,.338,.338,-.049,.450,13.520,13.520,25.864,-12.343,139,139,226,277,13,0,1,"2,565",,,,,,2019
54,Christiaan Bezuidenhout,"3,513",57,"3,513","28,743","28,743",100,455,455,693,583,583,900,-0.26,7.259,7.259,.159,.159,.170,.180,24.054,24.054,16.796,7.259,216,216,317,345,16,0,,"2,497",,,,,,2019
55,Adam Hadwin,"4,192",62,"4,192","35,515","35,515",120,535,535,835,744,744,"1,080",-0.28,7.947,7.947,-.127,-.127,.458,.348,39.190,39.190,31.242,7.947,214,214,336,532,18,0,4,"2,310",,,,,,2019
56,Harold Varner III,"3,010",50,"3,010","26,105","26,105",86,329,329,597,502,502,774,-0.34,1.873,1.873,-.136,-.136,.413,.397,25.483,25.483,23.610,1.873,171,171,272,557,15,0,3,"2,285",,,,,1,2019
57,Adam Scott,"2,810",44,"2,810","25,006","25,006",80,308,308,556,476,476,720,-0.33,16.377,16.377,.214,.214,.291,-.181,27.718,27.718,11.341,16.377,144,144,244,417,12,0,3,"2,425",,,,,,2019
58,J.J. Spaun,"5,055",72,"5,055","42,343","42,343",144,649,649,999,880,880,"1,296",-0.29,4.034,4.034,.207,.207,.186,-.008,24.812,24.812,20.776,4.034,252,252,416,897,21,1,2,"1,945",,1,1,,,2019
59,Matthew NeSmith,"4,497",68,"4,497","35,637","35,637",120,560,560,883,798,798,"1,152",-0.26,-12.978,-12.978,.185,.185,.487,.027,23.396,23.396,36.373,-12.978,215,215,354,475,20,0,2,"2,367",,,,,1,2019
60,Jordan Spieth,"2,926",45,"2,926","25,851","25,851",84,348,348,591,523,523,756,-0.32,-14.276,-14.276,.467,.467,.643,.259,36.409,36.409,50.686,-14.276,156,156,233,"1,277",13,1,3,"1,565",,1,1,2,,2019
61,Daniel Berger,"1,975",31,"1,975","16,458","16,458",56,271,271,396,326,326,504,-0.29,-1.777,-1.777,.379,.379,.579,.300,27.161,27.161,28.939,-1.777,118,118,178,395,9,0,2,"2,447",,,,,,2019
62,Brendan Steele,"3,737",57,"3,737","30,081","30,081",98,438,438,738,647,647,954,-0.24,-18.383,-18.383,.707,.707,.094,-.129,9.832,9.832,28.216,-18.383,192,192,307,563,17,0,3,"2,279",,,,1,,2019
63,Jason Day,"2,810",44,"2,810","24,153","24,153",80,331,331,553,462,462,720,-0.33,8.863,8.863,-.148,-.148,-.185,.230,5.396,5.396,-3.469,8.863,159,159,258,302,13,0,2,"2,540",,,,,1,2019
64,K.H. Lee,"4,494",64,"4,494","36,019","36,019",120,569,569,896,759,759,"1,152",-0.30,6.161,6.161,.333,.333,-.038,.027,24.244,24.244,18.085,6.161,244,244,393,781,18,1,1,"2,061",,1,1,,,2019
